language,repository,year,interval,NLOC,CCN
java,jdk,2018,4,3911931,2.5
java,jdk,2018,8,4383931,2.5
java,jdk,2018,12,4431796,2.4
java,jdk,2019,4,4445797,2.4
java,jdk,2019,8,4500076,2.4
java,jdk,2019,12,4538481,2.4
java,jenkins,2015,4,109959,1.9
java,jenkins,2015,8,112057,1.9
java,jenkins,2015,12,115392,1.9
java,jenkins,2016,4,113718,1.9
java,jenkins,2016,8,121306,1.9
java,jenkins,2016,12,124951,1.9
java,jenkins,2017,4,129950,1.9
java,jenkins,2017,8,131122,1.9
java,jenkins,2017,12,135325,1.9
java,jenkins,2018,4,142633,1.9
java,jenkins,2018,8,145632,1.9
java,jenkins,2018,12,154281,1.9
java,jenkins,2019,4,152130,1.9
java,jenkins,2019,8,154427,1.9
java,jenkins,2019,12,155352,1.9
java,lucene-solr,2015,4,740112,2.7
java,lucene-solr,2015,8,791232,2.6
java,lucene-solr,2015,12,821138,2.6
java,lucene-solr,2016,4,855364,2.6
java,lucene-solr,2016,8,876675,2.6
java,lucene-solr,2016,12,922740,2.6
java,lucene-solr,2017,4,955632,2.6
java,lucene-solr,2017,8,992529,2.6
java,lucene-solr,2017,12,1065849,2.5
java,lucene-solr,2018,4,1098177,2.5
java,lucene-solr,2018,8,1126203,2.5
java,lucene-solr,2018,12,1148542,2.5
java,lucene-solr,2019,4,1204210,2.5
java,lucene-solr,2019,8,1239159,2.5
java,lucene-solr,2019,12,1263387,2.5
java,mockito,2015,4,55000,1.9
java,mockito,2015,8,34504,1.4
java,mockito,2015,12,34863,1.4
java,mockito,2016,4,34926,1.4
java,mockito,2016,8,36891,1.4
java,mockito,2016,12,39951,1.4
java,mockito,2017,4,41389,1.4
java,mockito,2017,8,41580,1.4
java,mockito,2017,12,42188,1.4
java,mockito,2018,4,43544,1.4
java,mockito,2018,8,44281,1.4
java,mockito,2018,12,44559,1.4
java,mockito,2019,4,46875,1.4
java,mockito,2019,8,47277,1.4
java,mockito,2019,12,48180,1.4
java,MPAndroidChart,2015,4,15477,2.3
java,MPAndroidChart,2015,8,17627,2.3
java,MPAndroidChart,2015,12,20436,2.2
java,MPAndroidChart,2016,4,22785,2.2
java,MPAndroidChart,2016,8,23917,2.2
java,MPAndroidChart,2016,12,24200,2.2
java,MPAndroidChart,2017,4,24703,2.2
java,MPAndroidChart,2017,8,24708,2.2
java,MPAndroidChart,2017,12,24755,2.2
java,MPAndroidChart,2018,4,24773,2.2
java,MPAndroidChart,2018,8,24910,2.2
java,MPAndroidChart,2018,12,24370,2.2
java,MPAndroidChart,2019,4,24376,2.2
java,MPAndroidChart,2019,8,24376,2.2
java,MPAndroidChart,2019,12,24376,2.2
java,mybatis-3,2015,4,40932,1.6
java,mybatis-3,2015,8,41666,1.6
java,mybatis-3,2015,12,42308,1.6
java,mybatis-3,2016,4,46168,1.5
java,mybatis-3,2016,8,46820,1.5
java,mybatis-3,2016,12,48109,1.5
java,mybatis-3,2017,4,49179,1.5
java,mybatis-3,2017,8,50949,1.5
java,mybatis-3,2017,12,51357,1.5
java,mybatis-3,2018,4,52061,1.5
java,mybatis-3,2018,8,49660,1.5
java,mybatis-3,2018,12,50500,1..5
java,mybatis-3,2019,4,51130,1.5
java,mybatis-3,2019,8,52324,1.5
java,mybatis-3,2019,12,52993,1.5
java,neo4j,2015,4,,
java,neo4j,2015,8,,
java,neo4j,2015,12,,
java,neo4j,2016,4,,
java,neo4j,2016,8,,
java,neo4j,2016,12,,
java,neo4j,2017,4,,
java,neo4j,2017,8,,
java,neo4j,2017,12,,
java,neo4j,2018,4,,
java,neo4j,2018,8,,
java,neo4j,2018,12,,
java,neo4j,2019,4,,
java,neo4j,2019,8,,
java,neo4j,2019,12,,
java,netty,2015,4,168969,2.0
java,netty,2015,8,175436,2.0
java,netty,2015,12,188415,2.0
java,netty,2016,4,203579,1.9
java,netty,2016,8,213465,1.9
java,netty,2016,12,220881,1.9
java,netty,2017,4,225267,1.8
java,netty,2017,8,237508,1.8
java,netty,2017,12,242426,1.8
java,netty,2018,4,247149,1.8
java,netty,2018,8,252690,1.8
java,netty,2018,12,251216,1.8
java,netty,2019,4,245649,1.8
java,netty,2019,8,254717,1.8
java,netty,2019,12,258707,1.8
java,openapi-generator,2015,4,10421,1.9
java,openapi-generator,2015,8,16541,2.0
java,openapi-generator,2015,12,24960,2.0
java,openapi-generator,2016,4,30648,2.5
java,openapi-generator,2016,8,38445,2.4
java,openapi-generator,2016,12,41924,2.3
java,openapi-generator,2017,4,46384,2.3
java,openapi-generator,2017,8,56515,2.3
java,openapi-generator,2017,12,64370,2.4
java,openapi-generator,2018,4,57323,2.5
java,openapi-generator,2018,8,66871,2.4
java,openapi-generator,2018,12,75403,2.4
java,openapi-generator,2019,4,85761,2.3
java,openapi-generator,2019,8,92270,2.3
java,openapi-generator,2019,12,100243,2.3
java,OpenRefine,2015,4,50330,3.6
java,OpenRefine,2015,8,50323,3.6
java,OpenRefine,2015,12,45739,3.6
java,OpenRefine,2016,4,45739,3.6
java,OpenRefine,2016,8,45734,3.6
java,OpenRefine,2016,12,45734,3.6
java,OpenRefine,2017,4,45873,3.6
java,OpenRefine,2017,8,48249,3.6
java,OpenRefine,2017,12,49805,3.5
java,OpenRefine,2018,4,63921,3.0
java,OpenRefine,2018,8,66027,3.0
java,OpenRefine,2018,12,67887,2.7
java,OpenRefine,2019,4,68331,2.6
java,OpenRefine,2019,8,69239,2.6
java,OpenRefine,2019,12,70419,2.6
java,picasso,2015,4,9029,1.8
java,picasso,2015,8,9412,1.8
java,picasso,2015,12,9414,1.8
java,picasso,2016,4,9732,1.8
java,picasso,2016,8,9938,1.8
java,picasso,2016,12,9994,1.8
java,picasso,2017,4,9355,1.8
java,picasso,2017,8,9400,1.8
java,picasso,2017,12,9419,1.8
java,picasso,2018,4,9632,1.8
java,picasso,2018,8,9680,1.8
java,picasso,2018,12,9561,1.8
java,picasso,2019,4,9545,1.7
java,picasso,2019,8,9549,1.7
java,picasso,2019,12,7029,1.7
java,realm-java,2015,4,19904,2.0
java,realm-java,2015,8,23631,2.0
java,realm-java,2015,12,40761,2.2
java,realm-java,2016,4,49112,2.1
java,realm-java,2016,8,52446,2.1
java,realm-java,2016,12,61187,2.1
java,realm-java,2017,4,64049,2.0
java,realm-java,2017,8,71438,2.0
java,realm-java,2017,12,83364,2.1
java,realm-java,2018,4,88360,2.1
java,realm-java,2018,8,89609,2.1
java,realm-java,2018,12,93114,2.2
java,realm-java,2019,4,93437,2.2
java,realm-java,2019,8,88884,2.1
java,realm-java,2019,12,88146,2.1
java,retrofit,2015,4,6350,2.1
java,retrofit,2015,8,7564,1.8
java,retrofit,2015,12,9191,1.9
java,retrofit,2016,4,12512,1.9
java,retrofit,2016,8,13306,1.9
java,retrofit,2016,12,14948,1.9
java,retrofit,2017,4,16108,1.9
java,retrofit,2017,8,16801,1.9
java,retrofit,2017,12,17346,1.9
java,retrofit,2018,4,17880,1.9
java,retrofit,2018,8,18092,1.9
java,retrofit,2018,12,18943,1.9
java,retrofit,2019,4,18946,1.9
java,retrofit,2019,8,18810,1.9
java,retrofit,2019,12,18888,1.9
java,RxJava,2015,4,54338,1.8
java,RxJava,2015,8,21503,2.1
java,RxJava,2015,12,103576,1.9
java,RxJava,2016,4,119903,1.8
java,RxJava,2016,8,146985,1.8
java,RxJava,2016,12,218801,1.6
java,RxJava,2017,4,239273,1.6
java,RxJava,2017,8,241369,1.6
java,RxJava,2017,12,244929,1.6
java,RxJava,2018,4,267038,1.6
java,RxJava,2018,8,273761,1.6
java,RxJava,2018,12,275924,1.6
java,RxJava,2019,4,278007,1.6
java,RxJava,2019,8,281874,1.6
java,RxJava,2019,12,297055,1.6
java,scribejava,2015,4,5318,1.2
java,scribejava,2015,8,5358,1.2
java,scribejava,2015,12,6582,1.2
java,scribejava,2016,4,7880,1.3
java,scribejava,2016,8,7788,1.3
java,scribejava,2016,12,8631,1.3
java,scribejava,2017,4,8884,1.3
java,scribejava,2017,8,8978,1.3
java,scribejava,2017,12,9982,1.3
java,scribejava,2018,4,11264,1.4
java,scribejava,2018,8,11413,1.4
java,scribejava,2018,12,12026,1.4
java,scribejava,2019,4,13038,1.4
java,scribejava,2019,8,13549,1.4
java,scribejava,2019,12,13758,1.4
java,sonarqube,2015,4,267637,1.5
java,sonarqube,2015,8,309753,1.5
java,sonarqube,2015,12,286905,1.4
java,sonarqube,2016,4,351869,1.6
java,sonarqube,2016,8,374750,1.6
java,sonarqube,2016,12,394353,1.6
java,sonarqube,2017,4,418310,1.5
java,sonarqube,2017,8,440178,1.5
java,sonarqube,2017,12,479157,1.5
java,sonarqube,2018,4,499140,1.5
java,sonarqube,2018,8,429371,1.3
java,sonarqube,2018,12,443947,1.3
java,sonarqube,2019,4,448766,1.3
java,sonarqube,2019,8,420971,1.3
java,sonarqube,2019,12,430404,1.3
java,spring-boot,2015,4,98527,1.5
java,spring-boot,2015,8,130488,1.4
java,spring-boot,2015,12,140086,1.4
java,spring-boot,2016,4,165569,1.4
java,spring-boot,2016,8,176150,1.4
java,spring-boot,2016,12,187346,1.4
java,spring-boot,2017,4,203159,1.4
java,spring-boot,2017,8,208912,1.4
java,spring-boot,2017,12,216045,1.4
java,spring-boot,2018,4,238523,1.4
java,spring-boot,2018,8,249533,1.3
java,spring-boot,2018,12,259763,1.3
java,spring-boot,2019,4,269490,1.3
java,spring-boot,2019,8,260130,1.3
java,spring-boot,2019,12,268137,1.3
java,spring-framework,2015,4,492424,1.7
java,spring-framework,2015,8,510607,1.7
java,spring-framework,2015,12,6147,1.6
java,spring-framework,2016,4,527365,1.7
java,spring-framework,2016,8,509775,1.6
java,spring-framework,2016,12,526796,1.6
java,spring-framework,2017,4,539485,1.6
java,spring-framework,2017,8,553221,1.6
java,spring-framework,2017,12,558711,1.6
java,spring-framework,2018,4,566257,1.6
java,spring-framework,2018,8,577281,1.6
java,spring-framework,2018,12,583072,1.6
java,spring-framework,2019,4,597656,1.6
java,spring-framework,2019,8,606387,1.6
java,spring-framework,2019,12,611700,1.6
java,zxing,2015,4,38779,2.9
java,zxing,2015,8,38742,2.9
java,zxing,2015,12,39086,2.9
java,zxing,2016,4,39116,2.9
java,zxing,2016,8,39066,2.9
java,zxing,2016,12,39525,2.9
java,zxing,2017,4,39147,2.9
java,zxing,2017,8,39183,2.9
java,zxing,2017,12,39571,2.9
java,zxing,2018,4,39745,2.9
java,zxing,2018,8,40061,2.8
java,zxing,2018,12,40169,2.9
java,zxing,2019,4,40256,2.8
java,zxing,2019,8,40037,2.8
java,zxing,2019,12,40034,2.8
python,ansible,2015,4,,
python,ansible,2015,8,,
python,ansible,2015,12,,
python,ansible,2016,4,,
python,ansible,2016,8,,
python,ansible,2016,12,,
python,ansible,2017,4,,
python,ansible,2017,8,,
python,ansible,2017,12,,
python,ansible,2018,4,,
python,ansible,2018,8,,
python,ansible,2018,12,,
python,ansible,2019,4,,
python,ansible,2019,8,,
python,ansible,2019,12,,
python,aws-cli,2015,4,,
python,aws-cli,2015,8,,
python,aws-cli,2015,12,,
python,aws-cli,2016,4,,
python,aws-cli,2016,8,,
python,aws-cli,2016,12,,
python,aws-cli,2017,4,,
python,aws-cli,2017,8,,
python,aws-cli,2017,12,,
python,aws-cli,2018,4,,
python,aws-cli,2018,8,,
python,aws-cli,2018,12,,
python,aws-cli,2019,4,,
python,aws-cli,2019,8,,
python,aws-cli,2019,12,,
python,bottle,2015,4,,
python,bottle,2015,8,,
python,bottle,2015,12,,
python,bottle,2016,4,,
python,bottle,2016,8,,
python,bottle,2016,12,,
python,bottle,2017,4,,
python,bottle,2017,8,,
python,bottle,2017,12,,
python,bottle,2018,4,,
python,bottle,2018,8,,
python,bottle,2018,12,,
python,bottle,2019,4,,
python,bottle,2019,8,,
python,bottle,2019,12,,
python,celery,2015,4,,
python,celery,2015,8,,
python,celery,2015,12,,
python,celery,2016,4,,
python,celery,2016,8,,
python,celery,2016,12,,
python,celery,2017,4,,
python,celery,2017,8,,
python,celery,2017,12,,
python,celery,2018,4,,
python,celery,2018,8,,
python,celery,2018,12,,
python,celery,2019,4,,
python,celery,2019,8,,
python,celery,2019,12,,
python,compose,2015,4,,
python,compose,2015,8,,
python,compose,2015,12,,
python,compose,2016,4,,
python,compose,2016,8,,
python,compose,2016,12,,
python,compose,2017,4,,
python,compose,2017,8,,
python,compose,2017,12,,
python,compose,2018,4,,
python,compose,2018,8,,
python,compose,2018,12,,
python,compose,2019,4,,
python,compose,2019,8,,
python,compose,2019,12,,
python,cookiecutter,2015,4,,
python,cookiecutter,2015,8,,
python,cookiecutter,2015,12,,
python,cookiecutter,2016,4,,
python,cookiecutter,2016,8,,
python,cookiecutter,2016,12,,
python,cookiecutter,2017,4,,
python,cookiecutter,2017,8,,
python,cookiecutter,2017,12,,
python,cookiecutter,2018,4,,
python,cookiecutter,2018,8,,
python,cookiecutter,2018,12,,
python,cookiecutter,2019,4,,
python,cookiecutter,2019,8,,
python,cookiecutter,2019,12,,
python,core,2015,4,,
python,core,2015,8,,
python,core,2015,12,,
python,core,2016,4,,
python,core,2016,8,,
python,core,2016,12,,
python,core,2017,4,,
python,core,2017,8,,
python,core,2017,12,,
python,core,2018,4,,
python,core,2018,8,,
python,core,2018,12,,
python,core,2019,4,,
python,core,2019,8,,
python,core,2019,12,,
python,django,2015,4,,
python,django,2015,8,,
python,django,2015,12,,
python,django,2016,4,,
python,django,2016,8,,
python,django,2016,12,,
python,django,2017,4,,
python,django,2017,8,,
python,django,2017,12,,
python,django,2018,4,,
python,django,2018,8,,
python,django,2018,12,,
python,django,2019,4,,
python,django,2019,8,,
python,django,2019,12,,
python,erpnext,2015,4,,
python,erpnext,2015,8,,
python,erpnext,2015,12,,
python,erpnext,2016,4,,
python,erpnext,2016,8,,
python,erpnext,2016,12,,
python,erpnext,2017,4,,
python,erpnext,2017,8,,
python,erpnext,2017,12,,
python,erpnext,2018,4,,
python,erpnext,2018,8,,
python,erpnext,2018,12,,
python,erpnext,2019,4,,
python,erpnext,2019,8,,
python,erpnext,2019,12,,
python,falcon,2015,4,,
python,falcon,2015,8,,
python,falcon,2015,12,,
python,falcon,2016,4,,
python,falcon,2016,8,,
python,falcon,2016,12,,
python,falcon,2017,4,,
python,falcon,2017,8,,
python,falcon,2017,12,,
python,falcon,2018,4,,
python,falcon,2018,8,,
python,falcon,2018,12,,
python,falcon,2019,4,,
python,falcon,2019,8,,
python,falcon,2019,12,,
python,flask,2015,4,,
python,flask,2015,8,,
python,flask,2015,12,,
python,flask,2016,4,,
python,flask,2016,8,,
python,flask,2016,12,,
python,flask,2017,4,,
python,flask,2017,8,,
python,flask,2017,12,,
python,flask,2018,4,,
python,flask,2018,8,,
python,flask,2018,12,,
python,flask,2019,4,,
python,flask,2019,8,,
python,flask,2019,12,,
python,gensim,2015,4,,
python,gensim,2015,8,,
python,gensim,2015,12,,
python,gensim,2016,4,,
python,gensim,2016,8,,
python,gensim,2016,12,,
python,gensim,2017,4,,
python,gensim,2017,8,,
python,gensim,2017,12,,
python,gensim,2018,4,,
python,gensim,2018,8,,
python,gensim,2018,12,,
python,gensim,2019,4,,
python,gensim,2019,8,,
python,gensim,2019,12,,
python,httpie,2015,4,,
python,httpie,2015,8,,
python,httpie,2015,12,,
python,httpie,2016,4,,
python,httpie,2016,8,,
python,httpie,2016,12,,
python,httpie,2017,4,,
python,httpie,2017,8,,
python,httpie,2017,12,,
python,httpie,2018,4,,
python,httpie,2018,8,,
python,httpie,2018,12,,
python,httpie,2019,4,,
python,httpie,2019,8,,
python,httpie,2019,12,,
python,kivy,2015,4,,
python,kivy,2015,8,,
python,kivy,2015,12,,
python,kivy,2016,4,,
python,kivy,2016,8,,
python,kivy,2016,12,,
python,kivy,2017,4,,
python,kivy,2017,8,,
python,kivy,2017,12,,
python,kivy,2018,4,,
python,kivy,2018,8,,
python,kivy,2018,12,,
python,kivy,2019,4,,
python,kivy,2019,8,,
python,kivy,2019,12,,
python,librosa,2015,4,,
python,librosa,2015,8,,
python,librosa,2015,12,,
python,librosa,2016,4,,
python,librosa,2016,8,,
python,librosa,2016,12,,
python,librosa,2017,4,,
python,librosa,2017,8,,
python,librosa,2017,12,,
python,librosa,2018,4,,
python,librosa,2018,8,,
python,librosa,2018,12,,
python,librosa,2019,4,,
python,librosa,2019,8,,
python,librosa,2019,12,,
python,luigi,2015,4,,
python,luigi,2015,8,,
python,luigi,2015,12,,
python,luigi,2016,4,,
python,luigi,2016,8,,
python,luigi,2016,12,,
python,luigi,2017,4,,
python,luigi,2017,8,,
python,luigi,2017,12,,
python,luigi,2018,4,,
python,luigi,2018,8,,
python,luigi,2018,12,,
python,luigi,2019,4,,
python,luigi,2019,8,,
python,luigi,2019,12,,
python,Mailpile,2015,4,,
python,Mailpile,2015,8,,
python,Mailpile,2015,12,,
python,Mailpile,2016,4,,
python,Mailpile,2016,8,,
python,Mailpile,2016,12,,
python,Mailpile,2017,4,,
python,Mailpile,2017,8,,
python,Mailpile,2017,12,,
python,Mailpile,2018,4,,
python,Mailpile,2018,8,,
python,Mailpile,2018,12,,
python,Mailpile,2019,4,,
python,Mailpile,2019,8,,
python,Mailpile,2019,12,,
python,matplotlib,2015,4,,
python,matplotlib,2015,8,,
python,matplotlib,2015,12,,
python,matplotlib,2016,4,,
python,matplotlib,2016,8,,
python,matplotlib,2016,12,,
python,matplotlib,2017,4,,
python,matplotlib,2017,8,,
python,matplotlib,2017,12,,
python,matplotlib,2018,4,,
python,matplotlib,2018,8,,
python,matplotlib,2018,12,,
python,matplotlib,2019,4,,
python,matplotlib,2019,8,,
python,matplotlib,2019,12,,
python,mopidy,2015,4,,
python,mopidy,2015,8,,
python,mopidy,2015,12,,
python,mopidy,2016,4,,
python,mopidy,2016,8,,
python,mopidy,2016,12,,
python,mopidy,2017,4,,
python,mopidy,2017,8,,
python,mopidy,2017,12,,
python,mopidy,2018,4,,
python,mopidy,2018,8,,
python,mopidy,2018,12,,
python,mopidy,2019,4,,
python,mopidy,2019,8,,
python,mopidy,2019,12,,
python,nilearn,2015,4,,
python,nilearn,2015,8,,
python,nilearn,2015,12,,
python,nilearn,2016,4,,
python,nilearn,2016,8,,
python,nilearn,2016,12,,
python,nilearn,2017,4,,
python,nilearn,2017,8,,
python,nilearn,2017,12,,
python,nilearn,2018,4,,
python,nilearn,2018,8,,
python,nilearn,2018,12,,
python,nilearn,2019,4,,
python,nilearn,2019,8,,
python,nilearn,2019,12,,
python,numpy,2015,4,,
python,numpy,2015,8,,
python,numpy,2015,12,,
python,numpy,2016,4,,
python,numpy,2016,8,,
python,numpy,2016,12,,
python,numpy,2017,4,,
python,numpy,2017,8,,
python,numpy,2017,12,,
python,numpy,2018,4,,
python,numpy,2018,8,,
python,numpy,2018,12,,
python,numpy,2019,4,,
python,numpy,2019,8,,
python,numpy,2019,12,,
python,pandas,2015,4,,
python,pandas,2015,8,,
python,pandas,2015,12,,
python,pandas,2016,4,,
python,pandas,2016,8,,
python,pandas,2016,12,,
python,pandas,2017,4,,
python,pandas,2017,8,,
python,pandas,2017,12,,
python,pandas,2018,4,,
python,pandas,2018,8,,
python,pandas,2018,12,,
python,pandas,2019,4,,
python,pandas,2019,8,,
python,pandas,2019,12,,
python,requests,2015,4,,
python,requests,2015,8,,
python,requests,2015,12,,
python,requests,2016,4,,
python,requests,2016,8,,
python,requests,2016,12,,
python,requests,2017,4,,
python,requests,2017,8,,
python,requests,2017,12,,
python,requests,2018,4,,
python,requests,2018,8,,
python,requests,2018,12,,
python,requests,2019,4,,
python,requests,2019,8,,
python,requests,2019,12,,
python,scikit-learn,2015,4,,
python,scikit-learn,2015,8,,
python,scikit-learn,2015,12,,
python,scikit-learn,2016,4,,
python,scikit-learn,2016,8,,
python,scikit-learn,2016,12,,
python,scikit-learn,2017,4,,
python,scikit-learn,2017,8,,
python,scikit-learn,2017,12,,
python,scikit-learn,2018,4,,
python,scikit-learn,2018,8,,
python,scikit-learn,2018,12,,
python,scikit-learn,2019,4,,
python,scikit-learn,2019,8,,
python,scikit-learn,2019,12,,
python,scrapy,2015,4,,
python,scrapy,2015,8,,
python,scrapy,2015,12,,
python,scrapy,2016,4,,
python,scrapy,2016,8,,
python,scrapy,2016,12,,
python,scrapy,2017,4,,
python,scrapy,2017,8,,
python,scrapy,2017,12,,
python,scrapy,2018,4,,
python,scrapy,2018,8,,
python,scrapy,2018,12,,
python,scrapy,2019,4,,
python,scrapy,2019,8,,
python,scrapy,2019,12,,
python,sentry,2015,4,,
python,sentry,2015,8,,
python,sentry,2015,12,,
python,sentry,2016,4,,
python,sentry,2016,8,,
python,sentry,2016,12,,
python,sentry,2017,4,,
python,sentry,2017,8,,
python,sentry,2017,12,,
python,sentry,2018,4,,
python,sentry,2018,8,,
python,sentry,2018,12,,
python,sentry,2019,4,,
python,sentry,2019,8,,
python,sentry,2019,12,,
python,spaCy,2015,4,,
python,spaCy,2015,8,,
python,spaCy,2015,12,,
python,spaCy,2016,4,,
python,spaCy,2016,8,,
python,spaCy,2016,12,,
python,spaCy,2017,4,,
python,spaCy,2017,8,,
python,spaCy,2017,12,,
python,spaCy,2018,4,,
python,spaCy,2018,8,,
python,spaCy,2018,12,,
python,spaCy,2019,4,,
python,spaCy,2019,8,,
python,spaCy,2019,12,,
python,statsmodels,2015,4,,
python,statsmodels,2015,8,,
python,statsmodels,2015,12,,
python,statsmodels,2016,4,,
python,statsmodels,2016,8,,
python,statsmodels,2016,12,,
python,statsmodels,2017,4,,
python,statsmodels,2017,8,,
python,statsmodels,2017,12,,
python,statsmodels,2018,4,,
python,statsmodels,2018,8,,
python,statsmodels,2018,12,,
python,statsmodels,2019,4,,
python,statsmodels,2019,8,,
python,statsmodels,2019,12,,
python,sympy,2015,4,,
python,sympy,2015,8,,
python,sympy,2015,12,,
python,sympy,2016,4,,
python,sympy,2016,8,,
python,sympy,2016,12,,
python,sympy,2017,4,,
python,sympy,2017,8,,
python,sympy,2017,12,,
python,sympy,2018,4,,
python,sympy,2018,8,,
python,sympy,2018,12,,
python,sympy,2019,4,,
python,sympy,2019,8,,
python,sympy,2019,12,,
python,tornado,2015,4,,
python,tornado,2015,8,,
python,tornado,2015,12,,
python,tornado,2016,4,,
python,tornado,2016,8,,
python,tornado,2016,12,,
python,tornado,2017,4,,
python,tornado,2017,8,,
python,tornado,2017,12,,
python,tornado,2018,4,,
python,tornado,2018,8,,
python,tornado,2018,12,,
python,tornado,2019,4,,
python,tornado,2019,8,,
python,tornado,2019,12,,
python,you-get,2015,4,,
python,you-get,2015,8,,
python,you-get,2015,12,,
python,you-get,2016,4,,
python,you-get,2016,8,,
python,you-get,2016,12,,
python,you-get,2017,4,,
python,you-get,2017,8,,
python,you-get,2017,12,,
python,you-get,2018,4,,
python,you-get,2018,8,,
python,you-get,2018,12,,
python,you-get,2019,4,,
python,you-get,2019,8,,
python,you-get,2019,12,,
python,youtube-dl,2015,4,,
python,youtube-dl,2015,8,,
python,youtube-dl,2015,12,,
python,youtube-dl,2016,4,,
python,youtube-dl,2016,8,,
python,youtube-dl,2016,12,,
python,youtube-dl,2017,4,,
python,youtube-dl,2017,8,,
python,youtube-dl,2017,12,,
python,youtube-dl,2018,4,,
python,youtube-dl,2018,8,,
python,youtube-dl,2018,12,,
python,youtube-dl,2019,4,,
python,youtube-dl,2019,8,,
python,youtube-dl,2019,12,,
python,zulip,2015,4,,
python,zulip,2015,8,,
python,zulip,2015,12,,
python,zulip,2016,4,,
python,zulip,2016,8,,
python,zulip,2016,12,,
python,zulip,2017,4,,
python,zulip,2017,8,,
python,zulip,2017,12,,
python,zulip,2018,4,,
python,zulip,2018,8,,
python,zulip,2018,12,,
python,zulip,2019,4,,
python,zulip,2019,8,,
python,zulip,2019,12,,
