language,repository,year,interval,NLOC,CCN
c++,electron,2015,12,36551,2.2
c++,electron,2016,4,38740,2.2
c++,electron,2016,8,42836,2.2
c++,electron,2016,12,46404,2.3
c++,electron,2017,4,49566,2.3
c++,electron,2017,8,60507,2.2
c++,electron,2017,12,62206,2.2
c++,electron,2018,4,63396,2.2
c++,electron,2018,8,63273,2.2
c++,electron,2018,12,55300,2.1
c++,electron,2019,4,57666,2.1
c++,electron,2019,8,57755,2.1
c++,electron,2019,12,58353,2.2
c++,fmt,2015,4,31126,1.7
c++,fmt,2015,8,31485,1.7
c++,fmt,2015,12,31816,1.7
c++,fmt,2016,4,29900,1.7
c++,fmt,2016,8,32487,1.7
c++,fmt,2016,12,32492,1.7
c++,fmt,2017,4,32873,1.7
c++,fmt,2017,8,32614,1.7
c++,fmt,2017,12,33257,1.7
c++,fmt,2018,4,33810,1.6
c++,fmt,2018,8,35053,1.7
c++,fmt,2018,12,36344,1.7
c++,fmt,2019,4,37733,1.7
c++,fmt,2019,8,38391,1.7
c++,fmt,2019,12,39271,1.7
c++,folly,2015,4,104577,1.9
c++,folly,2015,8,105313,1.9
c++,folly,2015,12,110782,1.9
c++,folly,2016,4,116692,1.9
c++,folly,2016,8,129267,1.9
c++,folly,2016,12,139000,1.8
c++,folly,2017,4,149304,1.8
c++,folly,2017,8,164660,1.8
c++,folly,2017,12,180450,1.8
c++,folly,2018,4,195794,1.8
c++,folly,2018,8,211768,1.8
c++,folly,2018,12,233768,1.8
c++,folly,2019,4,261853,1.8
c++,folly,2019,8,270887,1.8
c++,folly,2019,12,279411,1.8
c++,gdal,2015,4,666308,6.5
c++,gdal,2015,8,699215,6.5
c++,gdal,2015,12,717352,6.5
c++,gdal,2016,4,751527,6.6
c++,gdal,2016,8,764981,6.6
c++,gdal,2016,12,814988,6.6
c++,gdal,2017,4,834486,6.6
c++,gdal,2017,8,841855,6.7
c++,gdal,2017,12,871885,6.7
c++,gdal,2018,4,898034,6.6
c++,gdal,2018,8,965922,6.8
c++,gdal,2018,12,977012,6.8
c++,gdal,2019,4,993662,6.8
c++,gdal,2019,8,1023010,6.7
c++,gdal,2019,12,1041765,6.5
c++,godot,2015,4,420532,3.5
c++,godot,2015,8,434634,3.6
c++,godot,2015,12,429196,3.4
c++,godot,2016,4,425568,3.6
c++,godot,2016,8,468654,3.6
c++,godot,2016,12,482424,3.6
c++,godot,2017,4,499652,3.6
c++,godot,2017,8,496507,3.6
c++,godot,2017,12,696182,3.4
c++,godot,2018,4,708333,3.4
c++,godot,2018,8,773973,3.4
c++,godot,2018,12,794417,3.4
c++,godot,2019,4,847024,3.4
c++,godot,2019,8,861290,3.4
c++,godot,2019,12,865798,3.4
c++,Halide,2015,4,78680,3.4
c++,Halide,2015,8,86756,3.7
c++,Halide,2015,12,89562,3.7
c++,Halide,2016,4,95680,3.8
c++,Halide,2016,8,112904,3.9
c++,Halide,2016,12,113136,3.7
c++,Halide,2017,4,120595,3.6
c++,Halide,2017,8,129818,3.6
c++,Halide,2017,12,143822,3.5
c++,Halide,2018,4,149043,3.6
c++,Halide,2018,8,160731,3.6
c++,Halide,2018,12,168996,3.5
c++,Halide,2019,4,184670,3.6
c++,Halide,2019,8,189738,3.6
c++,Halide,2019,12,199548,3.6
c++,imgui,2015,4,15762,4.3
c++,imgui,2015,8,19095,4.7
c++,imgui,2015,12,20502,4.8
c++,imgui,2016,4,22030,4.8
c++,imgui,2016,8,22515,4.9
c++,imgui,2016,12,22750,4.9
